# theta [deg]	wasp_takeoff_angle [deg]	n_b	lat_0 [deg]	lon_0 [deg]	Travel Time [s]	Celerity [km/s]	Turning Height [km]	Inclination [deg]	Back Azimuth [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]
0	100	0	36.50322	55.069824	3789.3024	0.27762664	112.39016	0.00060495502	-72.890933	-46.603095	-0.70199385
1	100	0	37.774066	49.270367	1874.3227	0.27692972	112.39661	0.99993846	-76.394447	-58.591435	-0.35533071
2	100	0	37.788393	49.195335	1854.461	0.27623819	112.41592	1.9999359	-76.440415	-61.421913	-0.35615143
3	100	0	37.802524	49.121059	1834.7898	0.2755417	112.44809	2.9998418	-76.485935	-63.08862	-0.35749351
4	100	0	37.81665	49.046535	1815.0518	0.2748293	112.49309	3.9998898	-76.531621	-64.299782	-0.35936715
5	100	0	37.830903	48.971058	1795.0698	0.27409205	112.5509	4.999717	-76.577906	-65.265567	-0.36178602
6	100	0	37.845366	48.894178	1774.7343	0.27332275	112.62147	5.9998428	-76.625066	-66.070306	-0.36476704
7	100	0	37.860068	48.815719	1754.0095	0.27251647	112.70478	6.9998236	-76.673211	-66.755893	-0.36833028
8	100	0	37.875009	48.73567	1732.9029	0.27166961	112.80076	7.9997384	-76.722349	-67.345963	-0.37249892
9	100	0	37.890165	48.654138	1711.4541	0.27077969	112.90937	8.9998348	-76.772413	-67.856586	-0.37729918
10	100	0	37.905492	48.571338	1689.7297	0.26984532	113.03057	9.9998227	-76.823273	-68.298701	-0.38276046
11	100	0	37.920944	48.487511	1667.8033	0.26886558	113.16429	10.999939	-76.874783	-68.68171	-0.38891353
12	100	0	37.936467	48.402939	1645.7588	0.26784019	113.31048	11.999881	-76.926767	-69.013059	-0.3957906
13	100	0	37.952009	48.317895	1623.676	0.26676904	113.46909	12.999844	-76.97906	-69.298912	-0.40342707
14	100	0	37.967519	48.232648	1601.6331	0.26565232	113.64004	13.999866	-77.031496	-69.544725	-0.41186132
15	100	0	37.982951	48.147459	1579.7058	0.26449047	113.8233	14.999781	-77.083915	-69.755163	-0.4211349
16	100	0	37.998264	48.062557	1557.9592	0.26328394	114.01879	15.999775	-77.136175	-69.934438	-0.43129285
17	100	0	38.013419	47.978157	1536.455	0.26203337	114.22647	16.999777	-77.188144	-70.085745	-0.44238551
18	100	0	38.028384	47.894452	1515.2474	0.2607395	114.44633	17.999742	-77.239702	-70.212351	-0.45446947
19	100	0	38.043132	47.811598	1494.3803	0.25940298	114.67833	18.99994	-77.290752	-70.317073	-0.46760503
20	100	0	38.057636	47.729761	1473.8996	0.25802486	114.92247	19.999746	-77.341193	-70.402272	-0.48185752

0	110	0	34.978869	54.317862	3789.3024	0.27762664	112.39016	0.0006049648	-63.465603	-46.677217	-0.70870888
