# z [km]	Lat [deg]	Long [deg]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]
13.058622	38.799033	43.45	-52.250113	-5.0062696e-05	47.758261
14.163113	38.804286	43.45	-53.621476	-6.63426e-05	52.016714
15.269094	38.809514	43.45	-54.960446	-8.4829475e-05	56.296514
16.375869	38.814727	43.45	-56.270782	-0.00010593441	60.588165
17.48284	38.819935	43.45	-57.554059	-0.00013021406	64.883327
18.589563	38.825147	43.45	-58.811179	-0.0001582416	69.175734
19.695731	38.830368	43.45	-60.042498	-0.00019047145	73.461115
20.801176	38.835599	43.45	-61.248992	-0.00022703754	77.737141
21.905807	38.840844	43.45	-62.431723	-0.00026761667	82.002667
23.009557	38.846103	43.45	-63.592679	-0.0003114601	86.25685
24.112355	38.851377	43.45	-64.732662	-0.00035761404	90.498854
25.214121	38.856667	43.45	-65.853199	-0.00040538163	94.727716
26.314779	38.861975	43.45	-66.954841	-0.00045477096	98.942586
27.414236	38.867302	43.45	-68.038297	-0.00050689831	103.1424
28.512393	38.872649	43.45	-69.104095	-0.00056411996	107.32608
29.609152	38.878019	43.45	-70.153151	-0.00063022669	111.49258
30.704405	38.883412	43.45	-71.185497	-0.00071224732	115.64081
31.798037	38.88883	43.45	-72.201485	-0.00082365419	119.76961
32.889921	38.894276	43.45	-73.201563	-0.00097382229	123.87776
33.979879	38.899751	43.45	-74.185707	-0.0011706562	127.9635
35.067694	38.90526	43.45	-75.154164	-0.0014180462	132.02471
36.153213	38.910804	43.45	-76.106479	-0.0017124752	136.06014
37.236302	38.916385	43.45	-77.041957	-0.0020444732	140.06885
38.316896	38.922003	43.45	-77.961387	-0.0024015821	144.05074
39.395001	38.927659	43.45	-78.864696	-0.0027717918	148.00646
40.470684	38.93335	43.45	-79.75237	-0.0031452004	151.93732
41.544087	38.939075	43.45	-80.6251	-0.0035138059	155.84528
42.615432	38.944829	43.45	-81.483421	-0.0038708375	159.73304
43.685023	38.950608	43.45	-82.328816	-0.0042102731	163.60396
44.753263	38.956407	43.45	-83.162459	-0.0045263969	167.46223
45.820625	38.962217	43.45	-83.985346	-0.0048143437	171.31257
46.887633	38.968032	43.45	-84.799849	-0.0050704676	175.16013
47.95477	38.973843	43.45	-85.607511	-0.0052933005	179.00958
49.022456	38.979646	43.45	-86.409578	-0.0054834388	182.865
50.091075	38.985434	43.45	-87.208421	-0.0056427522	186.73019
51.160941	38.991203	43.45	-88.005101	-0.005774164	190.60834
52.232308	38.996948	43.45	-88.80083	-0.0058811495	194.50215
53.305374	39.002667	43.45	-89.5967	-0.0059673361	198.41384
54.380279	39.008358	43.45	-90.393973	-0.0060362434	202.34511
55.457117	39.014019	43.45	-91.193429	-0.0060910816	206.29729
56.535923	39.019648	43.45	-91.995378	-0.0061347212	210.2711
57.616701	39.025247	43.45	-92.800559	-0.006169593	214.26699
58.699457	39.030814	43.45	-93.609452	-0.0061976808	218.2854
59.784175	39.03635	43.45	-94.422711	-0.0062206314	222.32658
60.870833	39.041855	43.45	-95.240232	-0.0062397952	226.39068
61.959385	39.047329	43.45	-96.062311	-0.006256298	230.47759
63.049772	39.052773	43.45	-96.891129	-0.0062710759	234.587
64.141923	39.058188	43.45	-97.726453	-0.0062849231	238.71846
65.235769	39.063575	43.45	-98.567223	-0.0062985279	242.87148
66.331229	39.068935	43.45	-99.412924	-0.0063125114	247.04541
67.428214	39.074269	43.45	-100.26364	-0.0063274517	251.23943
68.526629	39.079579	43.45	-101.11956	-0.0063439057	255.45262
69.626375	39.084866	43.45	-101.98033	-0.006362422	259.68396
70.727347	39.090132	43.45	-102.84577	-0.0063835445	263.93228
71.829423	39.095379	43.45	-103.71503	-0.0064078039	268.19615
72.932475	39.100609	43.45	-104.59031	-0.0064357029	272.474
74.03632	39.105824	43.45	-105.46742	-0.0064676995	276.76345
